Time,Miami,Score,Golden State,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. K. Looney (T. Herro gains possession),0-0,,,1,0,0,0,0.0
11:41.0,B. Adebayo misses 2-pt hook shot from 7 ft,0-0, ,,1,0,0,0,19.0
11:34.0, ,0-0,Defensive rebound by K. Looney,,1,0,0,0,26.0
11:19.0, ,0-0,S. Curry misses 3-pt jump shot from 26 ft,,1,0,0,0,41.0
11:15.0,Defensive rebound by B. Adebayo,0-0, ,,1,0,0,0,45.0
11:09.0,B. Adebayo misses 2-pt jump shot from 8 ft,0-0, ,,1,0,0,0,51.0
11:06.0, ,0-0,Defensive rebound by J. Kuminga,,1,0,0,0,54.0
11:00.0, ,0-0,Turnover by J. Kuminga (bad pass; steal by H. Highsmith),,1,0,0,0,60.0
10:53.0,H. Highsmith misses 2-pt layup from 6 ft (block by S. Curry),0-0, ,,1,0,0,0,67.0
10:51.0, ,0-0,Defensive rebound by S. Curry,,1,0,0,0,69.0
10:49.0, ,0-2,J. Kuminga makes 2-pt dunk from 1 ft (assist by K. Thompson),,1,0,2,-2,71.0
10:33.0,B. Adebayo makes 2-pt jump shot from 11 ft (assist by T. Herro),2-2, ,Tie,1,2,2,0,87.0
10:19.0, ,2-2,B. Podziemski misses 2-pt hook shot from 6 ft,,1,2,2,0,101.0
10:15.0,Defensive rebound by T. Herro,2-2, ,,1,2,2,0,105.0
9:54.0,B. Adebayo makes 2-pt jump shot from 7 ft,4-2, ,Lead change,1,4,2,2,126.0
9:41.0, ,4-5,K. Thompson makes 3-pt jump shot from 26 ft (assist by B. Podziemski),Lead change,1,4,5,-1,139.0
9:29.0,T. Herro makes 2-pt jump shot from 16 ft,6-5, ,Lead change,1,6,5,1,151.0
9:23.0, ,6-5,K. Thompson misses 3-pt jump shot from 26 ft,,1,6,5,1,157.0
9:23.0, ,6-5,Offensive rebound by B. Podziemski,,1,6,5,1,157.0
9:10.0, ,6-5,J. Kuminga misses 3-pt jump shot from 27 ft,,1,6,5,1,170.0
9:05.0,Defensive rebound by T. Herro,6-5, ,,1,6,5,1,175.0
8:59.0,T. Herro makes 2-pt layup from 2 ft,8-5, ,,1,8,5,3,181.0
8:42.0, ,8-5,K. Thompson misses 2-pt layup from 4 ft,,1,8,5,3,198.0
8:40.0, ,8-5,Offensive rebound by K. Looney,,1,8,5,3,200.0
8:40.0, ,8-5,Shooting foul by B. Adebayo (drawn by K. Looney),,1,8,5,3,200.0
8:40.0, ,8-5,K. Looney misses free throw 1 of 2,,1,8,5,3,200.0
8:40.0, ,8-5,Offensive rebound by Team,,1,8,5,3,200.0
8:40.0, ,8-6,K. Looney makes free throw 2 of 2,,1,8,6,2,200.0
