Time,Orlando,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: W. Carter vs. J. Duren (J. Suggs gains possession),0-0,,,1,0,0,0,0.0
11:40.0,G. Harris makes 3-pt jump shot from 25 ft (assist by F. Wagner),3-0, ,,1,0,3,-3,20.0
11:20.0, ,3-3,J. Ivey makes 3-pt jump shot from 27 ft (assist by C. Cunningham),Tie,1,3,3,0,40.0
11:03.0,Turnover by F. Wagner (traveling),3-3, ,,1,3,3,0,57.0
10:52.0, ,3-3,C. Cunningham misses 2-pt layup from 3 ft,,1,3,3,0,68.0
10:50.0,Defensive rebound by G. Harris,3-3, ,,1,3,3,0,70.0
10:38.0,F. Wagner misses 2-pt layup from 2 ft (block by J. Duren),3-3, ,,1,3,3,0,82.0
10:36.0, ,3-3,Defensive rebound by C. Cunningham,,1,3,3,0,84.0
10:32.0, ,3-3,C. Cunningham misses 3-pt jump shot from 26 ft,,1,3,3,0,88.0
10:27.0,Defensive rebound by P. Banchero,3-3, ,,1,3,3,0,93.0
10:20.0,W. Carter makes 2-pt hook shot from 7 ft (assist by P. Banchero),5-3, ,,1,3,5,-2,100.0
10:02.0, ,5-5,J. Duren makes 2-pt layup from 2 ft (assist by S. Fontecchio),Tie,1,5,5,0,118.0
10:02.0, ,5-5,Shooting foul by W. Carter (drawn by J. Duren),,1,5,5,0,118.0
10:02.0, ,5-5,J. Duren misses free throw 1 of 1,,1,5,5,0,118.0
10:00.0,Defensive rebound by W. Carter,5-5, ,,1,5,5,0,120.0
9:49.0,P. Banchero makes 2-pt jump shot from 9 ft,7-5, ,,1,5,7,-2,131.0
9:49.0,Shooting foul by C. Cunningham (drawn by P. Banchero),7-5, ,,1,5,7,-2,131.0
9:49.0,P. Banchero misses free throw 1 of 1,7-5, ,,1,5,7,-2,131.0
9:47.0, ,7-5,Defensive rebound by A. Thompson,,1,5,7,-2,133.0
9:41.0, ,7-5,J. Ivey misses 3-pt jump shot from 24 ft,,1,5,7,-2,139.0
9:37.0,Defensive rebound by P. Banchero,7-5, ,,1,5,7,-2,143.0
9:29.0,Personal foul by A. Thompson (drawn by F. Wagner),7-5, ,,1,5,7,-2,151.0
9:16.0,F. Wagner makes 2-pt hook shot from 4 ft (assist by P. Banchero),9-5, ,,1,5,9,-4,164.0
9:00.0, ,9-7,C. Cunningham makes 2-pt layup from 3 ft (assist by J. Duren),,1,7,9,-2,180.0
8:47.0,P. Banchero misses 2-pt layup from 3 ft,9-7, ,,1,7,9,-2,193.0
8:46.0, ,9-7,Defensive rebound by J. Duren,,1,7,9,-2,194.0
8:35.0, ,9-9,S. Fontecchio makes 2-pt jump shot from 17 ft (assist by J. Ivey),Tie,1,9,9,0,205.0
8:09.0,Turnover by F. Wagner (lost ball; steal by J. Duren),9-9, ,,1,9,9,0,231.0
8:08.0, ,9-9,Shooting foul by J. Suggs (drawn by J. Duren),,1,9,9,0,232.0
8:08.0, ,9-10,J. Duren makes free throw 1 of 2,Lead change,1,10,9,1,232.0
8:08.0,G. Bitadze enters the game for W. Carter,9-10, ,,1,10,9,1,232.0
