Time,Miami,Score,Chicago,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. N. Vučević (M. Strus gains possession),0-0,,,1,0,0,0,0.0
11:43.0,P. Tucker makes 2-pt jump shot from 9 ft (assist by K. Lowry),2-0, ,,1,2,0,2,17.0
11:24.0, ,2-3,Z. LaVine makes 3-pt jump shot from 24 ft (assist by N. Vučević),Lead change,1,2,3,-1,36.0
11:09.0,Turnover by B. Adebayo (bad pass; steal by A. Caruso),2-3, ,,1,2,3,-1,51.0
11:04.0, ,2-5,A. Dosunmu makes 2-pt layup from 1 ft (assist by A. Caruso),,1,2,5,-3,56.0
10:49.0,M. Strus misses 3-pt jump shot from 26 ft,2-5, ,,1,2,5,-3,71.0
10:47.0, ,2-5,Defensive rebound by Z. LaVine,,1,2,5,-3,73.0
10:40.0, ,2-8,Z. LaVine makes 3-pt jump shot from 25 ft,,1,2,8,-6,80.0
10:24.0,K. Lowry makes 2-pt jump shot from 22 ft (assist by B. Adebayo),4-8, ,,1,4,8,-4,96.0
10:11.0, ,4-8,A. Dosunmu misses 2-pt layup from 2 ft,,1,4,8,-4,109.0
10:09.0, ,4-8,Offensive rebound by A. Caruso,,1,4,8,-4,111.0
10:07.0, ,4-8,A. Caruso misses 2-pt layup from 2 ft (block by M. Strus),,1,4,8,-4,113.0
10:07.0,Defensive rebound by M. Strus,4-8, ,,1,4,8,-4,113.0
9:56.0,B. Adebayo makes 2-pt layup from 1 ft (assist by J. Butler),6-8, ,,1,6,8,-2,124.0
9:41.0, ,6-11,Z. LaVine makes 3-pt jump shot from 28 ft,,1,6,11,-5,139.0
9:20.0,B. Adebayo makes 2-pt jump shot from 11 ft (assist by M. Strus),8-11, ,,1,8,11,-3,160.0
8:56.0, ,8-13,N. Vučević makes 2-pt layup from 1 ft (assist by A. Dosunmu),,1,8,13,-5,184.0
8:46.0,J. Butler makes 3-pt jump shot from 23 ft (assist by P. Tucker),11-13, ,,1,11,13,-2,194.0
8:35.0, ,11-13,Personal foul by B. Adebayo (drawn by N. Vučević),,1,11,13,-2,205.0
8:29.0, ,11-13,N. Vučević misses 3-pt jump shot from 26 ft,,1,11,13,-2,211.0
8:25.0,Defensive rebound by B. Adebayo,11-13, ,,1,11,13,-2,215.0
8:13.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by J. Butler),14-13, ,Lead change,1,14,13,1,227.0
7:55.0, ,14-13,A. Caruso misses 3-pt jump shot from 24 ft,,1,14,13,1,245.0
7:51.0,Defensive rebound by P. Tucker,14-13, ,,1,14,13,1,249.0
7:29.0,B. Adebayo makes 2-pt jump shot from 10 ft,16-13, ,,1,16,13,3,271.0
7:14.0, ,16-13,Shooting foul by B. Adebayo (drawn by D. DeRozan),,1,16,13,3,286.0
7:14.0, ,16-14,D. DeRozan makes free throw 1 of 2,,1,16,14,2,286.0
7:14.0,D. Dedmon enters the game for B. Adebayo,16-14, ,,1,16,14,2,286.0
7:14.0, ,16-15,D. DeRozan makes free throw 2 of 2,,1,16,15,1,286.0
6:59.0,J. Butler makes 2-pt jump shot from 11 ft (assist by K. Lowry),18-15, ,,1,18,15,3,301.0
6:58.0, ,18-15,Chicago full timeout,,1,18,15,3,302.0
6:42.0, ,18-15,D. DeRozan misses 2-pt jump shot from 17 ft,,1,18,15,3,318.0
6:39.0,Defensive rebound by D. Dedmon,18-15, ,,1,18,15,3,321.0
6:33.0,K. Lowry makes 2-pt jump shot from 14 ft,20-15, ,,1,20,15,5,327.0
6:15.0, ,20-17,Z. LaVine makes 2-pt jump shot from 21 ft,,1,20,17,3,345.0
5:57.0,Turnover by J. Butler (bad pass; steal by D. DeRozan),20-17, ,,1,20,17,3,363.0
5:49.0, ,20-17,Z. LaVine misses 3-pt jump shot from 23 ft,,1,20,17,3,371.0
5:45.0, ,20-17,Offensive rebound by N. Vučević,,1,20,17,3,375.0
5:45.0, ,20-19,N. Vučević makes 2-pt layup at rim,,1,20,19,1,375.0
5:38.0,K. Lowry makes 2-pt jump shot from 21 ft,22-19, ,,1,22,19,3,382.0
5:21.0, ,22-21,D. DeRozan makes 2-pt jump shot from 12 ft,,1,22,21,1,399.0
5:12.0,D. Dedmon makes 2-pt layup from 1 ft (assist by J. Butler),24-21, ,,1,24,21,3,408.0
5:12.0,Shooting foul by A. Caruso (drawn by D. Dedmon),24-21, ,,1,24,21,3,408.0
5:12.0,T. Herro enters the game for J. Butler,24-21, ,,1,24,21,3,408.0
5:12.0, ,24-21,C. White enters the game for A. Caruso,,1,24,21,3,408.0
5:12.0, ,24-21,P. Williams enters the game for D. DeRozan,,1,24,21,3,408.0
5:12.0,D. Dedmon makes free throw 1 of 1,25-21, ,,1,25,21,4,408.0
4:57.0, ,25-21,Z. LaVine misses 3-pt jump shot from 26 ft,,1,25,21,4,423.0
4:55.0,Defensive rebound by K. Lowry,25-21, ,,1,25,21,4,425.0
4:42.0,D. Dedmon makes 2-pt layup from 1 ft (assist by K. Lowry),27-21, ,,1,27,21,6,438.0
4:24.0, ,27-21,C. White misses 3-pt jump shot from 25 ft,,1,27,21,6,456.0
4:21.0,Defensive rebound by D. Dedmon,27-21, ,,1,27,21,6,459.0
4:17.0,T. Herro misses 2-pt layup from 3 ft (block by P. Williams),27-21, ,,1,27,21,6,463.0
4:14.0, ,27-21,Defensive rebound by P. Williams,,1,27,21,6,466.0
4:11.0, ,27-23,A. Dosunmu makes 2-pt layup from 1 ft (assist by C. White),,1,27,23,4,469.0
3:58.0,T. Herro misses 2-pt layup from 2 ft (block by P. Williams),27-23, ,,1,27,23,4,482.0
3:58.0, ,27-23,Defensive rebound by A. Dosunmu,,1,27,23,4,482.0
3:54.0, ,27-25,P. Williams makes 2-pt layup at rim (assist by A. Dosunmu),,1,27,25,2,486.0
