Time,Sacramento,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Sabonis vs. B. Adebayo (M. Strus gains possession),0-0,,,1,0,0,0,0.0
11:43.0, ,0-0,K. Lowry misses 3-pt jump shot from 28 ft,,1,0,0,0,17.0
11:40.0, ,0-0,Offensive rebound by C. Martin,,1,0,0,0,20.0
11:37.0, ,0-3,K. Lowry makes 3-pt jump shot from 26 ft (assist by C. Martin),,1,3,0,3,23.0
11:17.0,Turnover by D. Sabonis (traveling),0-3, ,,1,3,0,3,43.0
11:12.0, ,0-3,B. Adebayo misses 2-pt layup from 6 ft,,1,3,0,3,48.0
11:09.0,Defensive rebound by D. Sabonis,0-3, ,,1,3,0,3,51.0
10:58.0,D. Mitchell makes 2-pt layup from 2 ft (assist by H. Barnes),2-3, ,,1,3,2,1,62.0
10:49.0, ,2-3,Turnover by C. Martin (bad pass; steal by K. Murray),,1,3,2,1,71.0
10:43.0,K. Murray makes 2-pt dunk from 1 ft,4-3, ,Lead change,1,3,4,-1,77.0
10:29.0, ,4-5,T. Herro makes 2-pt layup from 3 ft (assist by K. Lowry),Lead change,1,5,4,1,91.0
10:03.0,D. Sabonis misses 2-pt hook shot from 6 ft,4-5, ,,1,5,4,1,117.0
10:00.0, ,4-5,Defensive rebound by K. Lowry,,1,5,4,1,120.0
9:48.0, ,4-7,B. Adebayo makes 2-pt jump shot from 16 ft,,1,7,4,3,132.0
9:20.0,K. Huerter makes 3-pt jump shot from 30 ft (assist by D. Mitchell),7-7, ,Tie,1,7,7,0,160.0
9:10.0, ,7-7,Turnover by B. Adebayo (bad pass; steal by K. Huerter),,1,7,7,0,170.0
9:05.0,K. Huerter misses 3-pt jump shot from 26 ft,7-7, ,,1,7,7,0,175.0
9:02.0, ,7-7,Defensive rebound by B. Adebayo,,1,7,7,0,178.0
8:57.0, ,7-7,C. Martin misses 2-pt layup from 4 ft,,1,7,7,0,183.0
8:54.0,Defensive rebound by D. Sabonis,7-7, ,,1,7,7,0,186.0
8:50.0,D. Sabonis makes 2-pt layup from 3 ft,9-7, ,Lead change,1,7,9,-2,190.0
8:30.0, ,9-7,T. Herro misses 3-pt jump shot from 25 ft,,1,7,9,-2,210.0
8:28.0,Defensive rebound by D. Sabonis,9-7, ,,1,7,9,-2,212.0
8:23.0,K. Huerter makes 2-pt layup from 3 ft (assist by D. Sabonis),11-7, ,,1,7,11,-4,217.0
7:59.0, ,11-9,B. Adebayo makes 2-pt dunk from 2 ft (assist by M. Strus),,1,9,11,-2,241.0
7:35.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Mitchell),14-9, ,,1,9,14,-5,265.0
7:10.0, ,14-9,T. Herro misses 2-pt layup from 2 ft,,1,9,14,-5,290.0
7:08.0,Defensive rebound by D. Sabonis,14-9, ,,1,9,14,-5,292.0
7:03.0,H. Barnes makes 2-pt layup from 3 ft (assist by K. Huerter),16-9, ,,1,9,16,-7,297.0
7:03.0, ,16-9,Miami full timeout,,1,9,16,-7,297.0
7:03.0,T. Lyles enters the game for K. Murray,16-9, ,,1,9,16,-7,297.0
6:46.0, ,16-11,K. Lowry makes 2-pt jump shot from 11 ft (assist by M. Strus),,1,11,16,-5,314.0
6:46.0, ,16-11,Shooting foul by D. Mitchell (drawn by K. Lowry),,1,11,16,-5,314.0
6:46.0, ,16-12,K. Lowry makes free throw 1 of 1,,1,12,16,-4,314.0
6:26.0,D. Sabonis makes 2-pt dunk from 2 ft,18-12, ,,1,12,18,-6,334.0
6:16.0, ,18-14,B. Adebayo makes 2-pt layup from 4 ft (assist by K. Lowry),,1,14,18,-4,344.0
6:08.0,Turnover by K. Huerter (bad pass),18-14, ,,1,14,18,-4,352.0
5:56.0, ,18-16,K. Lowry makes 2-pt jump shot from 10 ft,,1,16,18,-2,364.0
5:36.0,H. Barnes misses 2-pt jump shot from 4 ft,18-16, ,,1,16,18,-2,384.0
5:34.0,Offensive rebound by H. Barnes,18-16, ,,1,16,18,-2,386.0
5:32.0,D. Sabonis misses 2-pt jump shot from 12 ft,18-16, ,,1,16,18,-2,388.0
5:29.0, ,18-16,Defensive rebound by B. Adebayo,,1,16,18,-2,391.0
5:16.0, ,18-18,K. Lowry makes 2-pt layup from 2 ft,Tie,1,18,18,0,404.0
4:54.0,D. Mitchell misses 3-pt jump shot from 25 ft,18-18, ,,1,18,18,0,426.0
4:46.0, ,18-18,Defensive rebound by C. Martin,,1,18,18,0,434.0
4:35.0, ,18-18,Turnover by T. Herro (bad pass),,1,18,18,0,445.0
4:35.0,M. Dellavedova enters the game for H. Barnes,18-18, ,,1,18,18,0,445.0
4:35.0,M. Monk enters the game for K. Huerter,18-18, ,,1,18,18,0,445.0
4:35.0,K. Murray enters the game for D. Mitchell,18-18, ,,1,18,18,0,445.0
4:35.0, ,18-18,D. Dedmon enters the game for B. Adebayo,,1,18,18,0,445.0
4:35.0, ,18-18,D. Robinson enters the game for K. Lowry,,1,18,18,0,445.0
4:35.0, ,18-18,G. Vincent enters the game for M. Strus,,1,18,18,0,445.0
4:25.0,M. Monk misses 2-pt jump shot from 4 ft,18-18, ,,1,18,18,0,455.0
4:23.0, ,18-18,Defensive rebound by D. Robinson,,1,18,18,0,457.0
4:02.0, ,18-18,G. Vincent misses 2-pt jump shot from 15 ft,,1,18,18,0,478.0
4:00.0,Defensive rebound by D. Sabonis,18-18, ,,1,18,18,0,480.0
3:52.0,D. Sabonis makes 2-pt layup from 3 ft (assist by M. Monk),20-18, ,,1,18,20,-2,488.0
