Time,Toronto,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Poeltl vs. L. Kornet (O. Anunoby gains possession),0-0,,,1,0,0,0,0.0
11:46.0,J. Poeltl misses 2-pt layup from 3 ft (block by L. Kornet),0-0, ,,1,0,0,0,14.0
11:44.0, ,0-0,Defensive rebound by J. Brown,,1,0,0,0,16.0
11:39.0, ,0-0,J. Holiday misses 3-pt jump shot from 29 ft,,1,0,0,0,21.0
11:37.0,Defensive rebound by J. Poeltl,0-0, ,,1,0,0,0,23.0
11:32.0,O. Anunoby makes 2-pt dunk from 2 ft (assist by S. Barnes),2-0, ,,1,0,2,-2,28.0
11:12.0, ,2-0,D. White misses 2-pt jump shot from 17 ft,,1,0,2,-2,48.0
11:10.0,Defensive rebound by S. Barnes,2-0, ,,1,0,2,-2,50.0
11:02.0,J. Poeltl misses 2-pt hook shot from 5 ft,2-0, ,,1,0,2,-2,58.0
11:00.0, ,2-0,Defensive rebound by L. Kornet,,1,0,2,-2,60.0
10:52.0, ,2-3,S. Hauser makes 3-pt jump shot from 28 ft (assist by D. White),Lead change,1,3,2,1,68.0
10:33.0,S. Barnes misses 2-pt jump shot from 16 ft,2-3, ,,1,3,2,1,87.0
10:31.0, ,2-3,Defensive rebound by Team,,1,3,2,1,89.0
10:20.0, ,2-3,D. White misses 3-pt jump shot from 27 ft,,1,3,2,1,100.0
10:18.0,Defensive rebound by J. Poeltl,2-3, ,,1,3,2,1,102.0
9:59.0,P. Siakam makes 2-pt jump shot from 7 ft,4-3, ,Lead change,1,3,4,-1,121.0
9:41.0, ,4-3,D. White misses 2-pt layup from 3 ft,,1,3,4,-1,139.0
9:39.0,Defensive rebound by S. Barnes,4-3, ,,1,3,4,-1,141.0
9:34.0,G. Trent makes 3-pt jump shot from 26 ft (assist by P. Siakam),7-3, ,,1,3,7,-4,146.0
9:21.0, ,7-6,J. Brown makes 3-pt jump shot from 29 ft (assist by L. Kornet),,1,6,7,-1,159.0
9:07.0,G. Trent misses 2-pt jump shot from 20 ft,7-6, ,,1,6,7,-1,173.0
9:06.0, ,7-6,Defensive rebound by J. Brown,,1,6,7,-1,174.0
8:58.0, ,7-6,Offensive foul by J. Brown (drawn by G. Trent),,1,6,7,-1,182.0
8:58.0, ,7-6,Turnover by J. Brown (offensive foul),,1,6,7,-1,182.0
8:42.0,P. Siakam misses 2-pt jump shot from 14 ft,7-6, ,,1,6,7,-1,198.0
8:38.0,Offensive rebound by J. Poeltl,7-6, ,,1,6,7,-1,202.0
8:36.0,S. Barnes misses 3-pt jump shot from 25 ft,7-6, ,,1,6,7,-1,204.0
8:35.0, ,7-6,Defensive rebound by S. Hauser,,1,6,7,-1,205.0
8:26.0, ,7-6,L. Kornet misses 2-pt dunk from 1 ft,,1,6,7,-1,214.0
8:24.0,Defensive rebound by J. Poeltl,7-6, ,,1,6,7,-1,216.0
8:18.0,S. Barnes misses 3-pt jump shot from 26 ft,7-6, ,,1,6,7,-1,222.0
8:16.0, ,7-6,Defensive rebound by L. Kornet,,1,6,7,-1,224.0
8:05.0, ,7-9,D. White makes 3-pt jump shot from 24 ft (assist by J. Brown),Lead change,1,9,7,2,235.0
7:46.0,Turnover by O. Anunoby (lost ball; steal by D. White),7-9, ,,1,9,7,2,254.0
7:39.0, ,7-11,J. Holiday makes 2-pt layup from 3 ft (assist by J. Brown),,1,11,7,4,261.0
7:39.0,Toronto full timeout,7-11, ,,1,11,7,4,261.0
7:21.0,Turnover by S. Barnes (bad pass; steal by D. White),7-11, ,,1,11,7,4,279.0
7:16.0, ,7-11,D. White misses 2-pt layup from 2 ft (block by S. Barnes),,1,11,7,4,284.0
7:13.0,Defensive rebound by G. Trent,7-11, ,,1,11,7,4,287.0
7:08.0,S. Barnes misses 3-pt jump shot from 27 ft,7-11, ,,1,11,7,4,292.0
7:06.0,Offensive rebound by J. Poeltl,7-11, ,,1,11,7,4,294.0
7:03.0,J. Poeltl makes 2-pt layup from 3 ft,9-11, ,,1,11,9,2,297.0
6:51.0, ,9-11,Turnover by J. Brown (bad pass),,1,11,9,2,309.0
6:51.0, ,9-11,O. Brissett enters the game for S. Hauser,,1,11,9,2,309.0
6:37.0,G. Trent misses 3-pt jump shot from 27 ft,9-11, ,,1,11,9,2,323.0
6:35.0, ,9-11,Defensive rebound by J. Brown,,1,11,9,2,325.0
6:26.0, ,9-11,J. Holiday misses 2-pt jump shot from 12 ft,,1,11,9,2,334.0
6:25.0, ,9-11,Offensive rebound by L. Kornet,,1,11,9,2,335.0
6:24.0, ,9-13,L. Kornet makes 2-pt layup from 2 ft,,1,13,9,4,336.0
6:24.0, ,9-13,Shooting foul by J. Poeltl (drawn by L. Kornet),,1,13,9,4,336.0
6:24.0,D. Schröder enters the game for S. Barnes,9-13, ,,1,13,9,4,336.0
6:24.0, ,9-13,P. Pritchard enters the game for D. White,,1,13,9,4,336.0
6:24.0, ,9-14,L. Kornet makes free throw 1 of 1,,1,14,9,5,336.0
6:09.0,D. Schröder makes 2-pt jump shot from 11 ft,11-14, ,,1,14,11,3,351.0
5:57.0, ,11-14,J. Brown misses 2-pt layup from 2 ft (block by J. Poeltl),,1,14,11,3,363.0
5:55.0,Defensive rebound by O. Anunoby,11-14, ,,1,14,11,3,365.0
5:52.0,G. Trent misses 2-pt layup from 2 ft,11-14, ,,1,14,11,3,368.0
5:50.0, ,11-14,Defensive rebound by O. Brissett,,1,14,11,3,370.0
5:37.0, ,11-17,J. Brown makes 3-pt jump shot from 23 ft (assist by O. Brissett),,1,17,11,6,383.0
5:22.0,O. Anunoby misses 3-pt jump shot from 27 ft,11-17, ,,1,17,11,6,398.0
5:20.0, ,11-17,Defensive rebound by J. Brown,,1,17,11,6,400.0
5:08.0, ,11-20,J. Brown makes 3-pt jump shot from 26 ft (assist by L. Kornet),,1,20,11,9,412.0
4:53.0,G. Trent misses 2-pt jump shot from 5 ft,11-20, ,,1,20,11,9,427.0
4:51.0, ,11-20,Defensive rebound by O. Brissett,,1,20,11,9,429.0
4:47.0, ,11-23,J. Brown makes 3-pt jump shot from 27 ft (assist by P. Pritchard),,1,23,11,12,433.0
4:45.0,Toronto full timeout,11-23, ,,1,23,11,12,435.0
4:45.0,C. Boucher enters the game for J. Poeltl,11-23, ,,1,23,11,12,435.0
4:45.0,O. Porter enters the game for G. Trent,11-23, ,,1,23,11,12,435.0
4:45.0, ,11-23,D. Banton enters the game for J. Holiday,,1,23,11,12,435.0
4:45.0, ,11-23,N. Queta enters the game for L. Kornet,,1,23,11,12,435.0
4:28.0,C. Boucher misses 3-pt jump shot from 26 ft,11-23, ,,1,23,11,12,452.0
4:27.0, ,11-23,Defensive rebound by O. Brissett,,1,23,11,12,453.0
4:16.0, ,11-23,Turnover by D. Banton (bad pass; steal by O. Anunoby),,1,23,11,12,464.0
4:12.0,O. Anunoby makes 2-pt dunk from 2 ft,13-23, ,,1,23,13,10,468.0
3:53.0, ,13-23,P. Pritchard misses 3-pt jump shot from 33 ft,,1,23,13,10,487.0
3:51.0,Defensive rebound by C. Boucher,13-23, ,,1,23,13,10,489.0
3:37.0,D. Schröder makes 2-pt layup from 3 ft (assist by O. Porter),15-23, ,,1,23,15,8,503.0
3:31.0, ,15-25,D. Banton makes 2-pt dunk from 1 ft (assist by P. Pritchard),,1,25,15,10,509.0
3:12.0,P. Siakam makes 2-pt jump shot from 14 ft (assist by O. Porter),17-25, ,,1,25,17,8,528.0
2:48.0, ,17-25,O. Brissett misses 2-pt jump shot from 18 ft,,1,25,17,8,552.0
