Time,Boston,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. J. Wiseman (J. Ivey gains possession),0-0,,,1,0,0,0,0.0
11:40.0, ,0-0,C. Cunningham misses 2-pt jump shot from 10 ft,,1,0,0,0,20.0
11:36.0,Defensive rebound by J. Brown,0-0, ,,1,0,0,0,24.0
11:26.0,K. Porziņģis misses 2-pt jump shot from 6 ft,0-0, ,,1,0,0,0,34.0
11:23.0, ,0-0,Defensive rebound by J. Wiseman,,1,0,0,0,37.0
11:13.0, ,0-0,Turnover by T. Evbuomwan (bad pass; steal by J. Brown),,1,0,0,0,47.0
11:06.0,J. Brown misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,54.0
11:03.0, ,0-0,Defensive rebound by C. Cunningham,,1,0,0,0,57.0
11:00.0, ,0-2,J. Wiseman makes 2-pt dunk from 3 ft (assist by C. Cunningham),,1,0,2,-2,60.0
10:32.0,D. White misses 3-pt jump shot from 23 ft,0-2, ,,1,0,2,-2,88.0
10:31.0,Offensive rebound by X. Tillman,0-2, ,,1,0,2,-2,89.0
10:29.0,Shooting foul by C. Cunningham (drawn by D. White),0-2, ,,1,0,2,-2,91.0
10:29.0,D. White makes free throw 1 of 2,1-2, ,,1,1,2,-1,91.0
10:29.0,D. White misses free throw 2 of 2,1-2, ,,1,1,2,-1,91.0
10:25.0,Offensive rebound by K. Porziņģis,1-2, ,,1,1,2,-1,95.0
10:16.0,P. Pritchard makes 3-pt jump shot from 27 ft,4-2, ,Lead change,1,4,2,2,104.0
9:57.0, ,4-2,Shooting foul by P. Pritchard (drawn by J. Wiseman),,1,4,2,2,123.0
9:57.0, ,4-3,J. Wiseman makes free throw 1 of 2,,1,4,3,1,123.0
9:57.0, ,4-4,J. Wiseman makes free throw 2 of 2,Tie,1,4,4,0,123.0
9:40.0,J. Brown makes 2-pt jump shot from 5 ft,6-4, ,,1,6,4,2,140.0
9:27.0, ,6-6,C. Cunningham makes 2-pt layup from 3 ft,Tie,1,6,6,0,153.0
9:18.0,P. Pritchard misses 2-pt layup from 4 ft,6-6, ,,1,6,6,0,162.0
9:15.0, ,6-6,Defensive rebound by T. Evbuomwan,,1,6,6,0,165.0
9:12.0, ,6-6,C. Cunningham misses 3-pt jump shot from 30 ft,,1,6,6,0,168.0
9:11.0, ,6-6,Offensive rebound by J. Wiseman,,1,6,6,0,169.0
9:09.0, ,6-8,J. Wiseman makes 2-pt layup from 1 ft,Lead change,1,6,8,-2,171.0
8:48.0,Shooting foul by J. Ivey (drawn by K. Porziņģis),6-8, ,,1,6,8,-2,192.0
8:48.0,K. Porziņģis makes free throw 1 of 2,7-8, ,,1,7,8,-1,192.0
8:48.0,K. Porziņģis makes free throw 2 of 2,8-8, ,Tie,1,8,8,0,192.0
8:26.0, ,8-10,J. Wiseman makes 2-pt dunk from 4 ft (assist by C. Cunningham),,1,8,10,-2,214.0
8:10.0,D. White makes 2-pt layup from 3 ft,10-10, ,Tie,1,10,10,0,230.0
7:54.0, ,10-10,Shooting foul by K. Porziņģis (drawn by T. Evbuomwan),,1,10,10,0,246.0
7:54.0, ,10-10,T. Evbuomwan misses free throw 1 of 2,,1,10,10,0,246.0
7:54.0, ,10-10,Offensive rebound by Team,,1,10,10,0,246.0
7:54.0, ,10-11,T. Evbuomwan makes free throw 2 of 2,,1,10,11,-1,246.0
7:33.0,K. Porziņģis makes 2-pt jump shot from 16 ft (assist by P. Pritchard),12-11, ,Lead change,1,12,11,1,267.0
7:15.0, ,12-13,C. Cunningham makes 2-pt jump shot from 9 ft (assist by J. Wiseman),Lead change,1,12,13,-1,285.0
6:56.0,Turnover by J. Brown (bad pass; steal by C. Cunningham),12-13, ,,1,12,13,-1,304.0
6:51.0, ,12-15,J. Ivey makes 2-pt layup from 3 ft (assist by C. Cunningham),,1,12,15,-3,309.0
6:40.0,Turnover by J. Brown (bad pass),12-15, ,,1,12,15,-3,320.0
6:40.0, ,12-15,Detroit full timeout,,1,12,15,-3,320.0
6:24.0, ,12-15,J. Ivey misses 2-pt layup from 4 ft,,1,12,15,-3,336.0
6:23.0, ,12-15,Offensive rebound by J. Wiseman,,1,12,15,-3,337.0
6:21.0, ,12-15,J. Wiseman misses 2-pt layup from 4 ft (block by K. Porziņģis),,1,12,15,-3,339.0
6:20.0,Defensive rebound by X. Tillman,12-15, ,,1,12,15,-3,340.0
6:11.0,J. Brown makes 2-pt layup from 2 ft,14-15, ,,1,14,15,-1,349.0
6:03.0, ,14-17,C. Cunningham makes 2-pt jump shot from 10 ft (assist by T. Evbuomwan),,1,14,17,-3,357.0
5:49.0,Personal foul by C. Cunningham (drawn by J. Brown),14-17, ,,1,14,17,-3,371.0
5:49.0,S. Hauser enters the game for D. White,14-17, ,,1,14,17,-3,371.0
5:49.0, ,14-17,E. Fournier enters the game for T. Brown,,1,14,17,-3,371.0
5:37.0,J. Brown makes 2-pt layup from 2 ft (assist by K. Porziņģis),16-17, ,,1,16,17,-1,383.0
5:28.0, ,16-17,Shooting foul by X. Tillman (drawn by C. Cunningham),,1,16,17,-1,392.0
5:28.0, ,16-18,C. Cunningham makes free throw 1 of 2,,1,16,18,-2,392.0
5:28.0, ,16-19,C. Cunningham makes free throw 2 of 2,,1,16,19,-3,392.0
5:10.0,S. Hauser misses 3-pt jump shot from 27 ft,16-19, ,,1,16,19,-3,410.0
5:07.0, ,16-19,Defensive rebound by J. Wiseman,,1,16,19,-3,413.0
5:01.0, ,16-21,J. Wiseman makes 2-pt layup from 2 ft (assist by C. Cunningham),,1,16,21,-5,419.0
4:50.0,K. Porziņģis makes 3-pt jump shot from 28 ft (assist by P. Pritchard),19-21, ,,1,19,21,-2,430.0
4:42.0, ,19-21,J. Ivey misses 2-pt layup from 3 ft,,1,19,21,-2,438.0
4:42.0,Defensive rebound by S. Hauser,19-21, ,,1,19,21,-2,438.0
4:37.0,S. Hauser makes 2-pt layup from 3 ft (assist by P. Pritchard),21-21, ,Tie,1,21,21,0,443.0
4:18.0, ,21-21,C. Cunningham misses 2-pt layup from 4 ft,,1,21,21,0,462.0
4:17.0, ,21-21,Offensive rebound by C. Cunningham,,1,21,21,0,463.0
4:16.0, ,21-21,C. Cunningham misses 2-pt layup from 4 ft (block by K. Porziņģis),,1,21,21,0,464.0
4:15.0, ,21-21,Offensive rebound by J. Wiseman,,1,21,21,0,465.0
4:13.0, ,21-23,J. Wiseman makes 2-pt jump shot from 5 ft,,1,21,23,-2,467.0
4:13.0,Boston full timeout,21-23, ,,1,21,23,-2,467.0
4:13.0,O. Brissett enters the game for K. Porziņģis,21-23, ,,1,21,23,-2,467.0
4:13.0,L. Kornet enters the game for X. Tillman,21-23, ,,1,21,23,-2,467.0
4:13.0, ,21-23,C. Metu enters the game for J. Ivey,,1,21,23,-2,467.0
4:13.0, ,21-23,J. Rhoden enters the game for J. Wiseman,,1,21,23,-2,467.0
3:54.0,Personal foul by J. Rhoden (drawn by P. Pritchard),21-23, ,,1,21,23,-2,486.0
3:50.0,J. Brown makes 2-pt layup from 2 ft (assist by P. Pritchard),23-23, ,Tie,1,23,23,0,490.0
3:37.0, ,23-23,Turnover by J. Rhoden (bad pass; steal by J. Brown),,1,23,23,0,503.0
3:33.0,J. Brown makes 2-pt layup from 2 ft,25-23, ,Lead change,1,25,23,2,507.0
3:11.0, ,25-23,T. Evbuomwan misses 3-pt jump shot from 23 ft,,1,25,23,2,529.0
3:09.0, ,25-23,Offensive rebound by T. Evbuomwan,,1,25,23,2,531.0
3:01.0, ,25-25,J. Rhoden makes 2-pt jump shot from 14 ft (assist by C. Metu),Tie,1,25,25,0,539.0
2:44.0,S. Hauser misses 3-pt jump shot from 27 ft,25-25, ,,1,25,25,0,556.0
2:43.0,Offensive rebound by Team,25-25, ,,1,25,25,0,557.0
2:42.0, ,25-25,Loose ball foul by C. Metu (drawn by L. Kornet),,1,25,25,0,558.0
2:42.0,L. Kornet misses free throw 1 of 2,25-25, ,,1,25,25,0,558.0
2:42.0,Offensive rebound by Team,25-25, ,,1,25,25,0,558.0
2:42.0, ,25-25,T. Brown enters the game for C. Cunningham,,1,25,25,0,558.0
2:42.0, ,25-25,M. Sasser enters the game for T. Evbuomwan,,1,25,25,0,558.0
2:42.0,L. Kornet makes free throw 2 of 2,26-25, ,,1,26,25,1,558.0
2:23.0, ,26-25,E. Fournier misses 2-pt jump shot from 9 ft,,1,26,25,1,577.0
2:22.0,Defensive rebound by L. Kornet,26-25, ,,1,26,25,1,578.0
2:02.0,P. Pritchard makes 2-pt layup from 2 ft,28-25, ,,1,28,25,3,598.0
1:47.0, ,28-25,E. Fournier misses 3-pt jump shot from 24 ft,,1,28,25,3,613.0
1:46.0,Defensive rebound by J. Brown,28-25, ,,1,28,25,3,614.0
1:41.0,S. Hauser misses 2-pt layup from 2 ft,28-25, ,,1,28,25,3,619.0
1:40.0, ,28-25,Defensive rebound by M. Sasser,,1,28,25,3,620.0
1:32.0, ,28-28,M. Sasser makes 3-pt jump shot from 27 ft,Tie,1,28,28,0,628.0
1:12.0,P. Pritchard misses 3-pt jump shot from 23 ft,28-28, ,,1,28,28,0,648.0
1:12.0, ,28-28,Defensive rebound by E. Fournier,,1,28,28,0,648.0
1:07.0, ,28-28,Personal foul by L. Kornet (drawn by T. Brown),,1,28,28,0,653.0
1:00.0, ,28-31,T. Brown makes 3-pt jump shot from 27 ft (assist by M. Sasser),Lead change,1,28,31,-3,660.0
0:50.0,S. Hauser misses 3-pt jump shot from 26 ft,28-31, ,,1,28,31,-3,670.0
0:48.0, ,28-31,Defensive rebound by M. Sasser,,1,28,31,-3,672.0
0:33.0, ,28-34,T. Brown makes 3-pt jump shot from 27 ft (assist by M. Sasser),,1,28,34,-6,687.0
0:29.0,Shooting foul by C. Metu (drawn by O. Brissett),28-34, ,,1,28,34,-6,691.0
0:29.0,O. Brissett makes free throw 1 of 2,29-34, ,,1,29,34,-5,691.0
0:29.0,X. Tillman enters the game for L. Kornet,29-34, ,,1,29,34,-5,691.0
0:29.0,O. Brissett misses free throw 2 of 2,29-34, ,,1,29,34,-5,691.0
0:26.0, ,29-34,Defensive rebound by T. Brown,,1,29,34,-5,694.0
0:04.0, ,29-34,Turnover by Team (shot clock),,1,29,34,-5,716.0
0:00.0,P. Pritchard makes 3-pt jump shot from 25 ft (assist by O. Brissett),32-34, ,,1,32,34,-2,720.0
0:00.0,End of 1st quarter,32-34,,,1,32,34,-2,720.0
12:00.0,Start of 2nd quarter,32-34,,,2,32,34,-2,720.0
11:43.0,D. White misses 3-pt jump shot from 25 ft,32-34, ,,2,32,34,-2,737.0
11:39.0, ,32-34,Defensive rebound by J. Rhoden,,2,32,34,-2,741.0
11:31.0, ,32-34,M. Sasser misses 2-pt jump shot from 14 ft,,2,32,34,-2,749.0
11:30.0,Defensive rebound by D. White,32-34, ,,2,32,34,-2,750.0
11:18.0,S. Hauser makes 3-pt jump shot from 23 ft (assist by P. Pritchard),35-34, ,Lead change,2,35,34,1,762.0
10:58.0, ,35-37,J. Rhoden makes 3-pt jump shot from 26 ft (assist by M. Sasser),Lead change,2,35,37,-2,782.0
10:44.0,P. Pritchard makes 3-pt jump shot from 23 ft (assist by L. Kornet),38-37, ,Lead change,2,38,37,1,796.0
10:26.0, ,38-39,T. Brown makes 2-pt jump shot from 17 ft (assist by J. Wiseman),Lead change,2,38,39,-1,814.0
10:08.0,P. Pritchard makes 2-pt jump shot from 6 ft,40-39, ,Lead change,2,40,39,1,832.0
9:55.0, ,40-41,M. Sasser makes 2-pt jump shot from 15 ft,Lead change,2,40,41,-1,845.0
9:41.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by L. Kornet),43-41, ,Lead change,2,43,41,2,859.0
9:17.0, ,43-41,J. Rhoden misses 3-pt jump shot from 31 ft,,2,43,41,2,883.0
9:16.0,Defensive rebound by Team,43-41, ,,2,43,41,2,884.0
9:16.0, ,43-41,J. Ivey enters the game for J. Rhoden,,2,43,41,2,884.0
9:00.0,S. Hauser misses 3-pt jump shot from 26 ft,43-41, ,,2,43,41,2,900.0
8:59.0,Offensive rebound by D. White,43-41, ,,2,43,41,2,901.0
