Time,New York,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Robinson vs. K. Porziņģis (D. White gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-0,J. Holiday misses 2-pt layup from 2 ft,,1,0,0,0,16.0
11:43.0, ,0-0,Offensive rebound by Team,,1,0,0,0,17.0
11:38.0, ,0-2,K. Porziņģis makes 2-pt dunk from 1 ft,,1,2,0,2,22.0
11:16.0,J. Randle misses 2-pt jump shot from 8 ft,0-2, ,,1,2,0,2,44.0
11:14.0,Offensive rebound by J. Randle,0-2, ,,1,2,0,2,46.0
11:13.0,J. Randle makes 2-pt layup from 2 ft,2-2, ,Tie,1,2,2,0,47.0
11:02.0, ,2-5,K. Porziņģis makes 3-pt jump shot from 28 ft (assist by J. Tatum),,1,5,2,3,58.0
10:39.0,D. DiVincenzo makes 3-pt jump shot from 28 ft (assist by R. Barrett),5-5, ,Tie,1,5,5,0,81.0
10:18.0, ,5-8,K. Porziņģis makes 3-pt jump shot from 30 ft (assist by J. Brown),,1,8,5,3,102.0
9:51.0,M. Robinson makes 2-pt dunk from 2 ft (assist by R. Barrett),7-8, ,,1,8,7,1,129.0
9:41.0, ,7-11,D. White makes 3-pt jump shot from 23 ft (assist by J. Holiday),,1,11,7,4,139.0
9:33.0,New York full timeout,7-11, ,,1,11,7,4,147.0
9:26.0,J. Brunson makes 2-pt jump shot from 14 ft (assist by M. Robinson),9-11, ,,1,11,9,2,154.0
9:12.0, ,9-11,Def 3 sec tech foul by Team,,1,11,9,2,168.0
9:12.0, ,9-11,J. Tatum misses technical free throw,,1,11,9,2,168.0
9:12.0, ,9-11,Offensive rebound by Team,,1,11,9,2,168.0
9:05.0, ,9-11,Turnover by J. Holiday (lost ball; steal by R. Barrett),,1,11,9,2,175.0
8:58.0,R. Barrett misses 2-pt layup from 2 ft,9-11, ,,1,11,9,2,182.0
8:57.0,Offensive rebound by M. Robinson,9-11, ,,1,11,9,2,183.0
8:57.0,M. Robinson makes 2-pt dunk at rim,11-11, ,Tie,1,11,11,0,183.0
8:41.0, ,11-11,Turnover by K. Porziņģis (bad pass; steal by M. Robinson),,1,11,11,0,199.0
